subjects,career_label,career_description,career_opportunities,sl_monthly_salary,sl_location,foreign_monthly_salary,foreign_location,work_type,skills,education_requirement
"Commerce, Economics, Accounting",Chartered Accountant,"Chartered accountants manage finances, audits, and tax planning for organizations. They analyze financial data, ensure regulatory compliance, and advise on budgeting. Their role is vital for business decision-making and financial integrity. CAs often work in firms, corporations, or as independent consultants. A qualification from a recognized accounting body is essential.","Audit Firms, Banks, Corporates",79479,Jaffna,3233,Germany,Hybrid,Critical Thinking Python Leadership Problem Solving Design,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Mechanical Engineering, Physics, Chemistry",Mechanical Engineer,"Mechanical engineers design, develop, and test mechanical systems. They work in manufacturing, automotive, energy, or robotics sectors. Knowledge of physics, materials, and CAD tools is essential. Engineers solve practical problems with technical innovation.","Factories, R&D Labs",116850,Kandy,3468,Germany,Hybrid,Critical Thinking Teamwork Analysis Python Problem Solving,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Mechanical Engineering, Physics, Chemistry",Mechanical Engineer,"Mechanical engineers design, develop, and test mechanical systems. They work in manufacturing, automotive, energy, or robotics sectors. Knowledge of physics, materials, and CAD tools is essential. Engineers solve practical problems with technical innovation.","Factories, R&D Labs",146697,Colombo,4962,Australia,Remote,Communication Research Critical Thinking Analysis Teamwork,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Education, Psychology, Child Development",School Teacher,"Teachers educate students, plan lessons, and assess performance. They work in schools, focusing on academic and social development. Patience, subject knowledge, and communication are key. Teachers play a crucial role in shaping young minds.","Schools, Educational NGOs",133990,Batticaloa,4893,Germany,Hybrid,Leadership Design Creativity Research Python,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Nursing, Biology, Community Medicine",Nurse,"Nurses provide care, support, and medical assistance to patients. They work in hospitals, clinics, and communities. Duties include administering medication, monitoring health, and educating patients. Compassion, clinical skills, and stamina are important in nursing careers.","Hospitals, Clinics, Health NGOs",100396,Batticaloa,5162,UK,Hybrid,Problem Solving Creativity Analysis Communication Research,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Civil Engineering, Physics, Mathematics",Civil Engineer,"Civil engineers design and oversee construction projects like roads, bridges, and buildings. They plan, budget, and ensure projects meet safety standards. Their work shapes infrastructure and urban development. Proficiency in design software, materials science, and structural analysis is essential.","Construction Firms, Government",115155,Kandy,3804,Canada,Hybrid,Research Python Creativity Leadership Teamwork,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Mechanical Engineering, Physics, Chemistry",Mechanical Engineer,"Mechanical engineers design, develop, and test mechanical systems. They work in manufacturing, automotive, energy, or robotics sectors. Knowledge of physics, materials, and CAD tools is essential. Engineers solve practical problems with technical innovation.","Factories, R&D Labs",81637,Batticaloa,3830,UK,Remote,Critical Thinking Communication Teamwork Creativity Python,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Fine Arts, Design, Photography",Graphic Designer,"Graphic designers create visual content for branding, marketing, and web design. They use design software to produce logos, posters, ads, and social media content. Aesthetic sense, creativity, and digital skills are vital. Designers work in agencies, media, or freelance.","Media Houses, Agencies, Freelance",148153,Kurunegala,5481,USA,On-site,Analysis Python Design Critical Thinking Creativity,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Biology, Chemistry, Physics",Medical Scientist,"Medical scientists conduct research to improve human health. They design and perform studies, analyze medical data, and develop treatments or vaccines. Often working in labs or hospitals, they collaborate with physicians and other scientists. Their work contributes to understanding diseases and improving healthcare outcomes. A strong background in biology and research methodology is essential.","Hospitals, Labs, Research Centers",117315,Batticaloa,5249,Australia,Hybrid,Leadership Creativity Problem Solving Teamwork Python,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"History, Political Science, Sociology",Historian,"Historians study, interpret, and write about the past. They analyze historical documents, artifacts, and sources to understand historical events and trends. They may work in academic, museum, or editorial roles. Historians contribute to education, policy-making, and cultural preservation by offering insights into human history.","Universities, Museums, Archives",120725,Galle,3696,UK,On-site,Research Python Problem Solving Analysis Creativity,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Information Technology, AI, Data Science",AI Engineer,"AI engineers develop intelligent systems capable of simulating human behavior. They design algorithms, build models, and integrate AI into applications. Work includes machine learning, deep learning, and natural language processing. AI engineers collaborate with data scientists and developers to deliver smart solutions.","Tech Companies, Startups, R&D",65588,Jaffna,3466,Australia,Hybrid,Design Python Creativity Problem Solving Research,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Zoology, Marine Biology, Ecology",Wildlife Researcher,"Wildlife researchers study animal behavior, habitats, and conservation strategies. They conduct fieldwork, collect data, and publish findings. Work involves biology, ecology, and environmental science. Passion for nature and scientific inquiry is important.","NGOs, Universities, Forest Depts",90878,Kurunegala,2653,Australia,On-site,Leadership Critical Thinking Problem Solving Teamwork Communication,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Commerce, Economics, Accounting",Chartered Accountant,"Chartered accountants manage finances, audits, and tax planning for organizations. They analyze financial data, ensure regulatory compliance, and advise on budgeting. Their role is vital for business decision-making and financial integrity. CAs often work in firms, corporations, or as independent consultants. A qualification from a recognized accounting body is essential.","Audit Firms, Banks, Corporates",84298,Jaffna,5401,Germany,Remote,Problem Solving Teamwork Critical Thinking Python Analysis,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Computer Science, Mathematics, Statistics",Data Analyst,"A data analyst collects, processes, and performs statistical analyses of data. They turn data into information that helps businesses make informed decisions. Analysts often work with databases, reporting tools, and visualization platforms. They collaborate with teams to understand data needs and deliver actionable insights. Strong communication and problem-solving skills are essential. Opportunities span across various industries such as finance, healthcare, e-commerce, and education, making it a versatile and in-demand career path for those skilled in data and analytics.","Finance, Healthcare, Tech Firms, Government",149959,Galle,2188,Germany,Hybrid,Communication Leadership Teamwork Creativity Critical Thinking,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Civil Engineering, Physics, Mathematics",Civil Engineer,"Civil engineers design and oversee construction projects like roads, bridges, and buildings. They plan, budget, and ensure projects meet safety standards. Their work shapes infrastructure and urban development. Proficiency in design software, materials science, and structural analysis is essential.","Construction Firms, Government",83730,Colombo,3620,Germany,On-site,Problem Solving Teamwork Critical Thinking Analysis Design,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"English, Mass Communication, Psychology",Content Writer,"Content writers create engaging written content for blogs, websites, marketing, and social media. They research topics, develop ideas, and ensure proper tone and grammar. Writers may work in journalism, advertising, education, or freelancing. Creativity, research skills, and command of language are key.","Media, Advertising, Freelance",119639,Kurunegala,5551,Canada,Hybrid,Problem Solving Analysis Python Creativity Research,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Computer Science, Mathematics, Statistics",Data Analyst,"A data analyst collects, processes, and performs statistical analyses of data. They turn data into information that helps businesses make informed decisions. Analysts often work with databases, reporting tools, and visualization platforms. They collaborate with teams to understand data needs and deliver actionable insights. Strong communication and problem-solving skills are essential. Opportunities span across various industries such as finance, healthcare, e-commerce, and education, making it a versatile and in-demand career path for those skilled in data and analytics.","Finance, Healthcare, Tech Firms, Government",71726,Colombo,5304,Canada,On-site,Creativity Leadership Research Teamwork Python,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Nursing, Biology, Community Medicine",Nurse,"Nurses provide care, support, and medical assistance to patients. They work in hospitals, clinics, and communities. Duties include administering medication, monitoring health, and educating patients. Compassion, clinical skills, and stamina are important in nursing careers.","Hospitals, Clinics, Health NGOs",98610,Anuradhapura,3843,Australia,On-site,Teamwork Creativity Problem Solving Analysis Leadership,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Commerce, Economics, Accounting",Chartered Accountant,"Chartered accountants manage finances, audits, and tax planning for organizations. They analyze financial data, ensure regulatory compliance, and advise on budgeting. Their role is vital for business decision-making and financial integrity. CAs often work in firms, corporations, or as independent consultants. A qualification from a recognized accounting body is essential.","Audit Firms, Banks, Corporates",109454,Kurunegala,2509,USA,On-site,Design Research Analysis Teamwork Problem Solving,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Fine Arts, Design, Photography",Graphic Designer,"Graphic designers create visual content for branding, marketing, and web design. They use design software to produce logos, posters, ads, and social media content. Aesthetic sense, creativity, and digital skills are vital. Designers work in agencies, media, or freelance.","Media Houses, Agencies, Freelance",76411,Jaffna,4572,Germany,Remote,Leadership Design Communication Research Analysis,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Information Technology, AI, Data Science",AI Engineer,"AI engineers develop intelligent systems capable of simulating human behavior. They design algorithms, build models, and integrate AI into applications. Work includes machine learning, deep learning, and natural language processing. AI engineers collaborate with data scientists and developers to deliver smart solutions.","Tech Companies, Startups, R&D",68967,Batticaloa,4560,UK,On-site,Analysis Critical Thinking Python Teamwork Leadership,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Biology, Chemistry, Physics",Medical Scientist,"Medical scientists conduct research to improve human health. They design and perform studies, analyze medical data, and develop treatments or vaccines. Often working in labs or hospitals, they collaborate with physicians and other scientists. Their work contributes to understanding diseases and improving healthcare outcomes. A strong background in biology and research methodology is essential.","Hospitals, Labs, Research Centers",141982,Galle,5726,Australia,On-site,Critical Thinking Leadership Design Python Communication,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Education, Psychology, Child Development",School Teacher,"Teachers educate students, plan lessons, and assess performance. They work in schools, focusing on academic and social development. Patience, subject knowledge, and communication are key. Teachers play a crucial role in shaping young minds.","Schools, Educational NGOs",141301,Kurunegala,3529,UK,Hybrid,Analysis Communication Research Teamwork Problem Solving,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Fine Arts, Design, Photography",Graphic Designer,"Graphic designers create visual content for branding, marketing, and web design. They use design software to produce logos, posters, ads, and social media content. Aesthetic sense, creativity, and digital skills are vital. Designers work in agencies, media, or freelance.","Media Houses, Agencies, Freelance",91444,Jaffna,3559,USA,Hybrid,Problem Solving Research Teamwork Creativity Python,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"History, Political Science, Sociology",Historian,"Historians study, interpret, and write about the past. They analyze historical documents, artifacts, and sources to understand historical events and trends. They may work in academic, museum, or editorial roles. Historians contribute to education, policy-making, and cultural preservation by offering insights into human history.","Universities, Museums, Archives",116270,Kurunegala,2612,Australia,Remote,Design Python Problem Solving Communication Analysis,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Education, Psychology, Child Development",School Teacher,"Teachers educate students, plan lessons, and assess performance. They work in schools, focusing on academic and social development. Patience, subject knowledge, and communication are key. Teachers play a crucial role in shaping young minds.","Schools, Educational NGOs",75037,Colombo,4139,Australia,Remote,Analysis Research Python Problem Solving Communication,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"English, Mass Communication, Psychology",Content Writer,"Content writers create engaging written content for blogs, websites, marketing, and social media. They research topics, develop ideas, and ensure proper tone and grammar. Writers may work in journalism, advertising, education, or freelancing. Creativity, research skills, and command of language are key.","Media, Advertising, Freelance",147005,Galle,5859,Germany,On-site,Critical Thinking Communication Problem Solving Research Teamwork,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Business Administration, Marketing, HRM",HR Manager,"HR managers handle recruitment, employee relations, and organizational development. They ensure legal compliance, design policies, and manage benefits. HR professionals foster a healthy work culture, support employee growth, and align HR goals with business strategy.","Corporates, NGOs, Consulting",85931,Anuradhapura,4838,UK,Remote,Design Communication Creativity Research Critical Thinking,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Fine Arts, Design, Photography",Graphic Designer,"Graphic designers create visual content for branding, marketing, and web design. They use design software to produce logos, posters, ads, and social media content. Aesthetic sense, creativity, and digital skills are vital. Designers work in agencies, media, or freelance.","Media Houses, Agencies, Freelance",69369,Kandy,5876,Australia,Hybrid,Research Teamwork Communication Leadership Problem Solving,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Business Administration, Marketing, HRM",HR Manager,"HR managers handle recruitment, employee relations, and organizational development. They ensure legal compliance, design policies, and manage benefits. HR professionals foster a healthy work culture, support employee growth, and align HR goals with business strategy.","Corporates, NGOs, Consulting",120092,Kandy,3594,Germany,Remote,Problem Solving Analysis Critical Thinking Python Research,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Mechanical Engineering, Physics, Chemistry",Mechanical Engineer,"Mechanical engineers design, develop, and test mechanical systems. They work in manufacturing, automotive, energy, or robotics sectors. Knowledge of physics, materials, and CAD tools is essential. Engineers solve practical problems with technical innovation.","Factories, R&D Labs",117347,Batticaloa,2680,Australia,Remote,Creativity Teamwork Analysis Leadership Communication,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Nursing, Biology, Community Medicine",Nurse,"Nurses provide care, support, and medical assistance to patients. They work in hospitals, clinics, and communities. Duties include administering medication, monitoring health, and educating patients. Compassion, clinical skills, and stamina are important in nursing careers.","Hospitals, Clinics, Health NGOs",84538,Kurunegala,2501,Canada,On-site,Design Problem Solving Python Critical Thinking Creativity,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Education, Psychology, Child Development",School Teacher,"Teachers educate students, plan lessons, and assess performance. They work in schools, focusing on academic and social development. Patience, subject knowledge, and communication are key. Teachers play a crucial role in shaping young minds.","Schools, Educational NGOs",122712,Colombo,2904,Australia,Remote,Python Teamwork Creativity Research Analysis,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Business Administration, Marketing, HRM",HR Manager,"HR managers handle recruitment, employee relations, and organizational development. They ensure legal compliance, design policies, and manage benefits. HR professionals foster a healthy work culture, support employee growth, and align HR goals with business strategy.","Corporates, NGOs, Consulting",98334,Galle,3752,UK,Remote,Creativity Communication Python Problem Solving Design,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Commerce, Economics, Accounting",Chartered Accountant,"Chartered accountants manage finances, audits, and tax planning for organizations. They analyze financial data, ensure regulatory compliance, and advise on budgeting. Their role is vital for business decision-making and financial integrity. CAs often work in firms, corporations, or as independent consultants. A qualification from a recognized accounting body is essential.","Audit Firms, Banks, Corporates",119809,Jaffna,3480,Australia,On-site,Communication Teamwork Research Python Design,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Nursing, Biology, Community Medicine",Nurse,"Nurses provide care, support, and medical assistance to patients. They work in hospitals, clinics, and communities. Duties include administering medication, monitoring health, and educating patients. Compassion, clinical skills, and stamina are important in nursing careers.","Hospitals, Clinics, Health NGOs",90007,Galle,4021,Germany,Remote,Leadership Python Communication Problem Solving Teamwork,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Law, Political Science, Ethics",Lawyer,"Lawyers represent clients in legal matters, draft contracts, and provide counsel. They may specialize in criminal, civil, corporate, or family law. Strong analytical, communication, and research skills are essential. Lawyers work in courts, law firms, or public service.","Law Firms, Judiciary, Public Sector",115612,Kurunegala,2314,Australia,Remote,Leadership Problem Solving Critical Thinking Research Creativity,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Law, Political Science, Ethics",Lawyer,"Lawyers represent clients in legal matters, draft contracts, and provide counsel. They may specialize in criminal, civil, corporate, or family law. Strong analytical, communication, and research skills are essential. Lawyers work in courts, law firms, or public service.","Law Firms, Judiciary, Public Sector",91473,Batticaloa,5507,Canada,On-site,Research Problem Solving Leadership Design Python,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Commerce, Economics, Accounting",Chartered Accountant,"Chartered accountants manage finances, audits, and tax planning for organizations. They analyze financial data, ensure regulatory compliance, and advise on budgeting. Their role is vital for business decision-making and financial integrity. CAs often work in firms, corporations, or as independent consultants. A qualification from a recognized accounting body is essential.","Audit Firms, Banks, Corporates",122589,Galle,5621,USA,On-site,Teamwork Python Design Creativity Communication,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Information Technology, AI, Data Science",AI Engineer,"AI engineers develop intelligent systems capable of simulating human behavior. They design algorithms, build models, and integrate AI into applications. Work includes machine learning, deep learning, and natural language processing. AI engineers collaborate with data scientists and developers to deliver smart solutions.","Tech Companies, Startups, R&D",131909,Colombo,2956,Germany,Remote,Python Problem Solving Creativity Teamwork Communication,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"English, Mass Communication, Psychology",Content Writer,"Content writers create engaging written content for blogs, websites, marketing, and social media. They research topics, develop ideas, and ensure proper tone and grammar. Writers may work in journalism, advertising, education, or freelancing. Creativity, research skills, and command of language are key.","Media, Advertising, Freelance",149106,Kurunegala,5311,Canada,Remote,Communication Analysis Creativity Problem Solving Critical Thinking,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Biology, Chemistry, Physics",Medical Scientist,"Medical scientists conduct research to improve human health. They design and perform studies, analyze medical data, and develop treatments or vaccines. Often working in labs or hospitals, they collaborate with physicians and other scientists. Their work contributes to understanding diseases and improving healthcare outcomes. A strong background in biology and research methodology is essential.","Hospitals, Labs, Research Centers",121352,Kurunegala,2025,Australia,Remote,Problem Solving Python Critical Thinking Teamwork Communication,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Information Technology, AI, Data Science",AI Engineer,"AI engineers develop intelligent systems capable of simulating human behavior. They design algorithms, build models, and integrate AI into applications. Work includes machine learning, deep learning, and natural language processing. AI engineers collaborate with data scientists and developers to deliver smart solutions.","Tech Companies, Startups, R&D",108360,Galle,3813,Australia,On-site,Design Communication Teamwork Analysis Python,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Education, Psychology, Child Development",School Teacher,"Teachers educate students, plan lessons, and assess performance. They work in schools, focusing on academic and social development. Patience, subject knowledge, and communication are key. Teachers play a crucial role in shaping young minds.","Schools, Educational NGOs",129185,Anuradhapura,5247,Germany,On-site,Leadership Design Teamwork Problem Solving Research,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Biology, Chemistry, Physics",Medical Scientist,"Medical scientists conduct research to improve human health. They design and perform studies, analyze medical data, and develop treatments or vaccines. Often working in labs or hospitals, they collaborate with physicians and other scientists. Their work contributes to understanding diseases and improving healthcare outcomes. A strong background in biology and research methodology is essential.","Hospitals, Labs, Research Centers",125007,Kandy,2661,UK,Remote,Analysis Critical Thinking Design Research Communication,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"History, Political Science, Sociology",Historian,"Historians study, interpret, and write about the past. They analyze historical documents, artifacts, and sources to understand historical events and trends. They may work in academic, museum, or editorial roles. Historians contribute to education, policy-making, and cultural preservation by offering insights into human history.","Universities, Museums, Archives",117629,Colombo,4460,USA,On-site,Creativity Leadership Critical Thinking Research Analysis,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Information Technology, AI, Data Science",AI Engineer,"AI engineers develop intelligent systems capable of simulating human behavior. They design algorithms, build models, and integrate AI into applications. Work includes machine learning, deep learning, and natural language processing. AI engineers collaborate with data scientists and developers to deliver smart solutions.","Tech Companies, Startups, R&D",63542,Kurunegala,3314,Australia,On-site,Communication Problem Solving Python Design Research,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Agriculture, Botany, Environmental Science",Agricultural Officer,"Agricultural officers advise farmers, manage rural projects, and promote sustainable farming. They analyze soil, crop performance, and suggest improvements. Officers often work with the government or NGOs to ensure food security and rural development.","Govt Depts, NGOs, Private Sector",92720,Galle,4234,Australia,On-site,Critical Thinking Leadership Analysis Creativity Python,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"English, Mass Communication, Psychology",Content Writer,"Content writers create engaging written content for blogs, websites, marketing, and social media. They research topics, develop ideas, and ensure proper tone and grammar. Writers may work in journalism, advertising, education, or freelancing. Creativity, research skills, and command of language are key.","Media, Advertising, Freelance",97275,Kandy,3668,Australia,Remote,Teamwork Research Leadership Critical Thinking Python,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"History, Political Science, Sociology",Historian,"Historians study, interpret, and write about the past. They analyze historical documents, artifacts, and sources to understand historical events and trends. They may work in academic, museum, or editorial roles. Historians contribute to education, policy-making, and cultural preservation by offering insights into human history.","Universities, Museums, Archives",61535,Colombo,2314,Germany,Hybrid,Design Creativity Python Leadership Teamwork,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Mechanical Engineering, Physics, Chemistry",Mechanical Engineer,"Mechanical engineers design, develop, and test mechanical systems. They work in manufacturing, automotive, energy, or robotics sectors. Knowledge of physics, materials, and CAD tools is essential. Engineers solve practical problems with technical innovation.","Factories, R&D Labs",101832,Kurunegala,2061,Australia,On-site,Leadership Creativity Problem Solving Critical Thinking Analysis,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Information Technology, AI, Data Science",AI Engineer,"AI engineers develop intelligent systems capable of simulating human behavior. They design algorithms, build models, and integrate AI into applications. Work includes machine learning, deep learning, and natural language processing. AI engineers collaborate with data scientists and developers to deliver smart solutions.","Tech Companies, Startups, R&D",100813,Batticaloa,5967,UK,On-site,Problem Solving Communication Design Critical Thinking Leadership,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Information Technology, AI, Data Science",AI Engineer,"AI engineers develop intelligent systems capable of simulating human behavior. They design algorithms, build models, and integrate AI into applications. Work includes machine learning, deep learning, and natural language processing. AI engineers collaborate with data scientists and developers to deliver smart solutions.","Tech Companies, Startups, R&D",88100,Colombo,5874,Canada,On-site,Creativity Analysis Leadership Teamwork Research,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Mechanical Engineering, Physics, Chemistry",Mechanical Engineer,"Mechanical engineers design, develop, and test mechanical systems. They work in manufacturing, automotive, energy, or robotics sectors. Knowledge of physics, materials, and CAD tools is essential. Engineers solve practical problems with technical innovation.","Factories, R&D Labs",67869,Batticaloa,2509,Canada,On-site,Communication Critical Thinking Creativity Analysis Python,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Commerce, Economics, Accounting",Chartered Accountant,"Chartered accountants manage finances, audits, and tax planning for organizations. They analyze financial data, ensure regulatory compliance, and advise on budgeting. Their role is vital for business decision-making and financial integrity. CAs often work in firms, corporations, or as independent consultants. A qualification from a recognized accounting body is essential.","Audit Firms, Banks, Corporates",135778,Galle,5756,UK,Remote,Critical Thinking Python Design Analysis Communication,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Agriculture, Botany, Environmental Science",Agricultural Officer,"Agricultural officers advise farmers, manage rural projects, and promote sustainable farming. They analyze soil, crop performance, and suggest improvements. Officers often work with the government or NGOs to ensure food security and rural development.","Govt Depts, NGOs, Private Sector",107284,Galle,4312,UK,On-site,Research Design Critical Thinking Leadership Communication,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Civil Engineering, Physics, Mathematics",Civil Engineer,"Civil engineers design and oversee construction projects like roads, bridges, and buildings. They plan, budget, and ensure projects meet safety standards. Their work shapes infrastructure and urban development. Proficiency in design software, materials science, and structural analysis is essential.","Construction Firms, Government",81733,Galle,2334,Australia,Hybrid,Python Design Problem Solving Teamwork Communication,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Education, Psychology, Child Development",School Teacher,"Teachers educate students, plan lessons, and assess performance. They work in schools, focusing on academic and social development. Patience, subject knowledge, and communication are key. Teachers play a crucial role in shaping young minds.","Schools, Educational NGOs",143541,Anuradhapura,4698,USA,On-site,Research Creativity Critical Thinking Python Communication,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Information Technology, AI, Data Science",AI Engineer,"AI engineers develop intelligent systems capable of simulating human behavior. They design algorithms, build models, and integrate AI into applications. Work includes machine learning, deep learning, and natural language processing. AI engineers collaborate with data scientists and developers to deliver smart solutions.","Tech Companies, Startups, R&D",122186,Anuradhapura,2565,USA,On-site,Critical Thinking Design Creativity Communication Research,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"History, Political Science, Sociology",Historian,"Historians study, interpret, and write about the past. They analyze historical documents, artifacts, and sources to understand historical events and trends. They may work in academic, museum, or editorial roles. Historians contribute to education, policy-making, and cultural preservation by offering insights into human history.","Universities, Museums, Archives",66963,Galle,2725,USA,Hybrid,Problem Solving Python Research Analysis Teamwork,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Law, Political Science, Ethics",Lawyer,"Lawyers represent clients in legal matters, draft contracts, and provide counsel. They may specialize in criminal, civil, corporate, or family law. Strong analytical, communication, and research skills are essential. Lawyers work in courts, law firms, or public service.","Law Firms, Judiciary, Public Sector",71042,Anuradhapura,4663,UK,On-site,Python Analysis Research Teamwork Design,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Agriculture, Botany, Environmental Science",Agricultural Officer,"Agricultural officers advise farmers, manage rural projects, and promote sustainable farming. They analyze soil, crop performance, and suggest improvements. Officers often work with the government or NGOs to ensure food security and rural development.","Govt Depts, NGOs, Private Sector",121192,Kandy,3185,Australia,On-site,Research Python Analysis Creativity Teamwork,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Law, Political Science, Ethics",Lawyer,"Lawyers represent clients in legal matters, draft contracts, and provide counsel. They may specialize in criminal, civil, corporate, or family law. Strong analytical, communication, and research skills are essential. Lawyers work in courts, law firms, or public service.","Law Firms, Judiciary, Public Sector",139417,Anuradhapura,5215,Germany,Remote,Analysis Research Teamwork Design Leadership,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Commerce, Economics, Accounting",Chartered Accountant,"Chartered accountants manage finances, audits, and tax planning for organizations. They analyze financial data, ensure regulatory compliance, and advise on budgeting. Their role is vital for business decision-making and financial integrity. CAs often work in firms, corporations, or as independent consultants. A qualification from a recognized accounting body is essential.","Audit Firms, Banks, Corporates",98117,Batticaloa,4713,Canada,Remote,Problem Solving Analysis Communication Leadership Critical Thinking,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
